sampleID POP K1 K2 K3 K4 K5
HG01077 AMR 0.018095 0.010992 0.148557 0.622559 0.199797
HG01079 AMR 0.008778 0.028578 0.115178 0.689166 0.1583
HG01080 AMR 0.019461 0.011854 0.173544 0.703951 0.091191
HG01082 AMR 0.019379 0.007674 0.128391 0.634856 0.209699
HG01083 AMR 0.009946 1e-05 0.14831 0.734819 0.106915
HG01085 AMR 0.004474 1e-05 0.11619 0.746709 0.132616
HG01086 AMR 0.018002 1e-05 0.160287 0.686129 0.135572
HG01088 AMR 0.014841 0.010504 0.096846 0.697538 0.180271
HG01089 AMR 0.014784 0.000439 0.124534 0.71142 0.148823
HG01092 AMR 0.017354 1e-05 0.105399 0.622918 0.25432
HG01094 AMR 0.015757 1e-05 0.097983 0.748016 0.138233
HG01095 AMR 0.006162 0.00181 0.114977 0.760134 0.116917
HG01097 AMR 0.014511 1e-05 0.134337 0.752838 0.098304
HG01098 AMR 0.021185 1e-05 0.111922 0.76004 0.106843
HG01101 AMR 0.012737 0.004597 0.142097 0.688409 0.152159
HG01102 AMR 0.006091 0.004334 0.111609 0.703674 0.174292
HG01104 AMR 0.016553 0.017546 0.103118 0.777682 0.0851
HG01105 AMR 0.000134 0.017155 0.072237 0.823532 0.086942
HG01107 AMR 0.015796 1e-05 0.096148 0.668719 0.219327
HG01108 AMR 0.002058 1e-05 0.055967 0.290652 0.651312
HG01110 AMR 0.019997 0.001663 0.121237 0.726477 0.130625
HG01111 AMR 0.006915 1e-05 0.123216 0.745531 0.124329
HG01112 AMR 0.011233 0.00059 0.060641 0.904206 0.02333
HG01113 AMR 0.029683 1e-05 0.251945 0.70131 0.017052
HG01119 AMR 0.006149 0.005237 0.113071 0.850118 0.025425
HG01121 AMR 0.023897 0.014863 0.265796 0.645642 0.049802
HG01122 AMR 0.009129 0.020341 0.191688 0.715442 0.063399
HG01124 AMR 0.011184 1e-05 0.26322 0.578269 0.147318
HG01125 AMR 0.024022 0.016247 0.221602 0.635395 0.102734
HG01130 AMR 0.015313 0.025446 0.216109 0.681419 0.061712
HG01131 AMR 0.018591 0.002751 0.228677 0.682249 0.067731
HG01133 AMR 0.009801 0.017171 0.12977 0.815219 0.028038
HG01134 AMR 0.009198 0.001539 0.198717 0.658014 0.132532
HG01136 AMR 0.00889 0.019039 0.234921 0.637923 0.099227
HG01137 AMR 0.017917 0.013715 0.312263 0.625427 0.030678
HG01139 AMR 0.019489 1e-05 0.261552 0.533057 0.185891
HG01140 AMR 0.018913 0.011959 0.235794 0.687086 0.046248
HG01142 AMR 0.031725 1e-05 0.315986 0.462151 0.190128
HG01148 AMR 0.01135 0.008721 0.225153 0.699191 0.055584
HG01149 AMR 0.037834 1e-05 0.385085 0.465448 0.111623
HG01161 AMR 0.006235 1e-05 0.14413 0.660254 0.189372
HG01162 AMR 0.009428 0.025816 0.141268 0.71271 0.110778
HG01164 AMR 0.008466 0.008368 0.106473 0.775197 0.101497
HG01167 AMR 0.007749 0.008417 0.119467 0.633908 0.23046
HG01168 AMR 0.007872 0.03659 0.047029 0.869002 0.039507
HG01170 AMR 0.004081 0.010632 0.140524 0.718166 0.126597
HG01171 AMR 0.019855 1e-05 0.117834 0.671071 0.19123
HG01173 AMR 0.016556 0.000874 0.032682 0.871907 0.07798
HG01174 AMR 0.00954 0.017321 0.101772 0.801418 0.069949
HG01176 AMR 0.014647 1e-05 0.138863 0.75013 0.096351
HG01177 AMR 0.019963 0.013621 0.157843 0.717867 0.090707
HG01182 AMR 0.010485 0.00956 0.135435 0.702399 0.14212
HG01183 AMR 0.010951 0.01453 0.139259 0.711706 0.123554
HG01187 AMR 0.018504 1e-05 0.21767 0.577768 0.186048
HG01188 AMR 0.018257 1e-05 0.179778 0.577984 0.223971
HG01190 AMR 0.022711 0.00771 0.193576 0.613739 0.162265
HG01191 AMR 0.011649 0.01763 0.165656 0.708068 0.096997
HG01197 AMR 0.015187 1e-05 0.12347 0.782866 0.078466
HG01198 AMR 0.022148 1e-05 0.120019 0.664529 0.193295
HG01200 AMR 0.015074 0.010866 0.070534 0.856663 0.046862
HG01204 AMR 0.013758 0.015449 0.110637 0.744892 0.115264
HG01205 AMR 0.005274 0.010863 0.097758 0.76564 0.120464
HG01241 AMR 0.004081 0.009444 0.063249 0.240908 0.682318
HG01242 AMR 0.003277 0.028484 0.048369 0.414432 0.505439
HG01247 AMR 0.028831 1e-05 0.139891 0.630211 0.201057
HG01248 AMR 0.018367 0.016694 0.091644 0.754612 0.118684
